hgnc_id	GEP	GCN	MUT	CNS
HGNC:11177	2	3	3	2
HGNC:11178	-1	3	3	-1
HGNC:11179	3	3	3	3
HGNC:11180	1	3	3	1
HGNC:11181	-1	3	3	-1
HGNC:11184	2	3	3	2
HGNC:1122	1	3	3	1
HGNC:11240	-1	3	3	-1
HGNC:11257	3	3	3	3
HGNC:11277	2	3	3	2
HGNC:11278	1	3	3	1
HGNC:11279	2	0	3	2
HGNC:11284	2	0	3	2
HGNC:11285	-1	0	3	-1
HGNC:11296	3	3	3	3
HGNC:11377	-1	2	3	-1
HGNC:11425	-1	3	3	-1
HGNC:11448	2	3	3	2
HGNC:11449	3	3	3	3
HGNC:11450	3	3	3	3
HGNC:11453	-1	3	3	-1
HGNC:11454	-1	0	3	-1
HGNC:11455	1	3	3	1
HGNC:11458	-1	3	3	-1
HGNC:11459	-1	3	3	-1
HGNC:11460	1	3	3	1
HGNC:11479	2	3	3	2
HGNC:115	3	3	3	3
HGNC:11503	1	3	3	1
HGNC:11504	-1	3	3	-1
HGNC:11559	3	3	3	3
HGNC:11573	-1	3	3	-1
HGNC:11609	-1	0	3	-1
HGNC:11647	2	3	3	2
HGNC:117	1	3	3	1
HGNC:11708	-1	0	3	-1
HGNC:11782	-1	0	3	-1
HGNC:118	2	3	3	2
HGNC:11830	3	3	3	3
HGNC:11831	-1	3	3	-1
HGNC:11834	3	3	3	3
HGNC:11835	-1	3	3	-1
HGNC:11863	1	0	3	1
HGNC:119	1	3	3	1
HGNC:120	-1	0	3	-1
HGNC:12008	-1	0	3	-1
HGNC:12009	3	3	3	3
HGNC:12015	-1	3	3	-1
HGNC:12019	-1	3	3	-1
HGNC:121	1	0	3	1
HGNC:122	3	3	3	3
HGNC:12266	-1	3	3	-1
HGNC:123	1	3	3	1
HGNC:12388	2	3	3	2
HGNC:12390	2	3	3	2
HGNC:124	-1	3	3	-1
HGNC:12437	3	3	3	3
HGNC:12441	3	3	3	3
HGNC:12442	-1	3	3	-1
HGNC:12450	-1	3	3	-1
HGNC:12457	3	3	3	3
HGNC:125	-1	3	1	-1
HGNC:12517	-1	0	3	-1
HGNC:12518	-1	0	3	-1
HGNC:12519	-1	0	3	-1
HGNC:12524	1	3	3	1
HGNC:12525	1	3	3	1
HGNC:12527	2	3	3	2
HGNC:12530	0	3	3	3
HGNC:12531	-1	3	3	-1
HGNC:12535	0	3	3	3
HGNC:12536	-1	3	3	-1
